HEAD
     3.00048258     2.99955659     2.99715326     2.99327861     2.98793176     2.98111180     2.97281787     2.96304906     2.95180448     2.93908326     2.92488450     2.90920731     2.89205080     2.87341409     2.85329628     2.83169648     2.80861381     2.78404738     2.75799628     2.73045965     2.70143657
     3.00018829     2.99925203     2.99683986     2.99295804     2.98760562     2.98078160     2.97248500     2.96271486     2.95147018     2.93875000     2.92455333     2.90887920     2.89172663     2.87309465     2.85298227     2.83138851     2.80831242     2.78375300     2.75770927     2.73018028     2.70116781
     2.99939943     2.99845449     2.99603510     2.99214780     2.98679154     2.97996526     2.97166790     2.96189842     2.95065575     2.93793885     2.92374666     2.90807813     2.89093221     2.87230785     2.85220400     2.83061962     2.80755365     2.78300505     2.75697277     2.72945576     2.70044988
     2.99811766     2.99716586     2.99474115     2.99085026     2.98549209     2.97866552     2.97036943     2.96060270     2.94936421     2.93665287     2.92246755     2.90680715     2.88967055     2.87105665     2.85096434     2.82939251     2.80634007     2.78180590     2.75578891     2.72828799     2.69928648
     2.99634280     2.99538590     2.99295765     2.98906500     2.98370678     2.97688182     2.96858897     2.95882705     2.94759491     2.93489139     2.92071533     2.90506558     2.88794098     2.86934038     2.84926264     2.82770660     2.80467112     2.78015505     2.75415725     2.72667659     2.69767856
     2.99407470     2.99311434     2.99068427     2.98679159     2.98143511     2.97461362     2.96632593     2.95657084     2.94534717     2.93265371     2.91848929     2.90285272     2.88574282     2.86715839     2.84709828     2.82556129     2.80254625     2.77805200     2.75207737     2.72462117     2.69562711
     2.99131319     2.99035092     2.98792065     2.98402961     2.97867659     2.97186036     2.96357972     2.95383345     2.94262034     2.92993918     2.91578877     2.90016790     2.88307538     2.86451002     2.84447061     2.82295597     2.79996491     2.77549625     2.74954880     2.72212138     2.69313310
     2.98805811     2.98709538     2.98466644     2.98077863     2.97543072     2.96862150     2.96034974     2.95061423     2.93941375     2.92674709     2.91261305     2.89701043     2.87993801     2.86139461     2.84137902     2.81989007     2.79692655     2.77248729     2.74657111     2.71917683     2.69019750
     2.98430930     2.98334747     2.98092130     2.97703822     2.97169703     2.96489649     2.95663540     2.94691256     2.93572676     2.92307679     2.90896148     2.89337962     2.87633002     2.85781150     2.83782288     2.81636298     2.79343062     2.76902464     2.74314387     2.71578714     2.68682129
     2.98006661     2.97910692     2.97668488     2.97280798     2.96747501     2.96068478     2.95243610     2.94272780     2.93155869     2.91892760     2.90483336     2.88927479     2.87225074     2.85376005     2.83380155     2.81237411     2.78947657     2.76510779     2.73926663     2.71195195     2.68300543
     2.97532986     2.97437347     2.97195684     2.96808746     2.96276418     2.95598583     2.94775126     2.93805934     2.92690891     2.91429885     2.90022801     2.88469527     2.86769951     2.84923960     2.82931443     2.80792288     2.78506385     2.76073624     2.73493895     2.70767088     2.67875091
     2.97009889     2.96914687     2.96673683     2.96287626     2.95756405     2.95079909     2.94258028     2.93290654     2.92177676     2.90918986     2.89514476     2.87964038     2.86267565     2.84424951     2.82436088     2.80300870     2.78019193     2.75590952     2.73016041     2.70294356     2.67405868
     2.96437356     2.96342686     2.96102451     2.95717395     2.95187414     2.94512403     2.93692258     2.92726878     2.91616158     2.90359997     2.88958293     2.87410945     2.85717852     2.83878913     2.81894028     2.79763099     2.77486026     2.75062711     2.72493056     2.69776962     2.66892973
     2.95815368     2.95721318     2.95481953     2.95098011     2.94569395     2.93896009     2.93077757     2.92114544     2.91006273     2.89752852     2.88354185     2.86810180     2.85120743     2.83285782     2.81305203     2.79178917     2.76906831     2.74488854     2.71924896     2.69214869     2.66336501
