HEAD
    -0.00056207    -0.00085312    -0.00051247
     0.22894030     0.23019290     0.22872686
     0.43496552     0.43496552     0.43417827
END
HEAD
    -0.00051247    -0.00085872    -0.00055667
     0.22872686     0.23021700     0.22891708
     0.43417827     0.43496552     0.43496552
END
HEAD
     0.43496552     0.43496552     0.43417827
     0.68732241     0.68732241     0.68803648
     0.84239735     0.84239735     0.84221932
END
HEAD
     0.43417827     0.43496552     0.43496552
     0.68803648     0.68732241     0.68732241
     0.84221932     0.84239735     0.84239735
END
